"""siteid""","""sitename""","""monitordate""","""aqi""","""so2subindex""","""cosubindex""","""o3subindex""","""pm10subindex""","""no2subindex""","""o38subindex""","""pm25subindex"""
32,西屯,2023-01-01,46,2,2,,28,22,31,46
40,朴子,2023-01-01,58,2,2,,36,12,36,58
71,復興,2023-01-01,99,5,9,,61,45,,99
9,林口,2023-01-01,36,0,2,,13,12,36,24
45,安南,2023-01-01,67,2,3,,41,17,31,67
4,新店,2023-01-01,33,0,2,,11,17,33,19
11,士林,2023-01-01,39,2,1,,15,8,39,28
27,三義,2023-01-01,38,2,3,,18,17,31,38
48,橋頭,2023-01-01,82,5,3,,55,25,26,82
28,豐原,2023-01-01,63,5,3,,28,22,16,63
15,松山,2023-01-01,36,2,2,,17,25,36,28
37,斗六,2023-01-01,77,5,5,,44,20,31,77
64,陽明,2023-01-01,43,2,1,,6,3,43,7
85,大城,2023-01-01,46,0,1,,32,5,44,46
53,楠梓,2023-01-01,84,8,5,,51,28,25,84
47,美濃,2023-01-01,80,2,5,,45,17,29,80
20,平鎮,2023-01-01,37,2,2,,9,13,37,33
49,仁武,2023-01-01,97,5,5,,49,30,22,97
24,新竹,2023-01-01,33,2,2,,9,18,33,21
75,馬祖,2023-01-01,52,2,2,,26,7,46,52
57,前鎮,2023-01-01,110,8,7,,64,37,,110
61,恆春,2023-01-01,41,2,1,,2,2,41,5
41,臺西,2023-01-01,52,2,2,,36,8,,52
6,板橋,2023-01-01,33,2,3,,11,23,33,33
80,關山,2023-01-01,31,0,2,,3,7,31,17
83,麥寮,2023-01-01,48,2,2,,37,8,,48
62,臺東,2023-01-01,31,0,2,,7,8,31,9
42,嘉義,2023-01-01,74,10,5,,43,23,27,74
14,古亭,2023-01-01,34,2,2,,14,15,34,31
2,汐止,2023-01-01,38,2,2,,13,17,38,25
3,萬里,2023-01-01,42,8,2,,32,23,42,36
22,湖口,2023-01-01,35,2,2,,13,10,35,20
7,新莊,2023-01-01,35,2,2,,15,17,35,19
26,苗栗,2023-01-01,50,5,3,,25,27,29,50
38,崙背,2023-01-01,57,5,3,,40,18,34,57
1,基隆,2023-01-01,39,5,3,,17,23,39,31
59,屏東,2023-01-01,107,2,6,,64,27,30,107
43,新營,2023-01-01,62,2,3,,38,18,31,62
58,小港,2023-01-01,109,5,7,,59,50,23,109
19,觀音,2023-01-01,39,2,1,,31,12,39,38
67,三重,2023-01-01,48,0,9,,18,48,,32
65,宜蘭,2023-01-01,32,2,2,,10,20,32,27
52,林園,2023-01-01,103,8,5,,69,43,33,103
50,鳳山,2023-01-01,118,8,8,,60,50,,118
46,臺南,2023-01-01,83,2,5,,41,27,27,83
35,二林,2023-01-01,58,8,3,,42,20,37,58
56,前金,2023-01-01,107,5,6,,58,33,26,107
51,大寮,2023-01-01,109,5,5,,60,35,30,109
84,富貴角,2023-01-01,46,0,1,,46,3,45,
21,龍潭,2023-01-01,35,0,2,,5,12,35,10
25,頭份,2023-01-01,31,2,3,,11,30,,31
68,中壢,2023-01-01,33,2,7,,15,33,,29
30,大里,2023-01-01,67,2,6,,37,32,26,67
10,淡水,2023-01-01,37,2,2,,10,18,37,23
29,沙鹿,2023-01-01,46,5,2,,34,15,36,46
31,忠明,2023-01-01,47,5,3,,26,25,30,47
