gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66,gene67,gene68,gene69,gene70,gene71,gene72,gene73,gene74,gene75,gene76,gene77,gene78,gene79,gene80,gene81,gene82,gene83,gene84,gene85,gene86,gene87,gene88,gene89,gene90,gene91,gene92,gene93,gene94,gene95,gene96,gene97,gene98,gene99,gene100,is_hypertension
-0.32292,-0.84404,0.66759,1.2824,-0.6552,0.32161,0.019617,0.099172,-0.90615,-0.012426,-0.16943,1.0215,-0.18204,0.69394,-0.74131,-1.2325,0.66458,-0.67547,1.315,-2.3457,-0.90088,0.97741,-1.4218,-0.07808,0.63311,0.7241,0.2057,-1.3995,-0.84716,-1.283,-1.6424,-0.024925,-1.0979,-0.21582,-1.7871,2.0326,-0.98882,0.33159,-1.1048,0.044834,-1.8553,2.1552,-1.0096,0.3827,0.072641,0.0012885,-0.14116,0.40999,0.58538,-0.56465,-1.1626,0.46178,0.23014,-0.18356,-0.14704,0.42938,0.025531,-0.078993,-0.38578,-1.1966,1.7492,0.41467,-0.021591,0.80052,0.51033,-0.53067,-1.4437,-1.0473,-0.33539,0.34182,1.0546,0.30774,-0.24106,0.52963,0.62099,-0.30742,0.03922,-0.2945,0.45738,-0.89202,-0.87194,-0.06422,0.78571,0.71664,-3.253,-1.8189,0.69992,-0.32369,-2.01,-1.3502,0.70115,0.058081,-0.61633,-0.64807,-1.0324,0.51962,-0.47894,1.1049,-0.38681,0.28893,1
-1.2903,0.26645,0.16175,-0.26783,-0.62004,1.5383,1.0582,0.0012396,0.10103,0.33544,0.62296,-0.16683,0.38668,-0.65921,-0.40074,-0.69935,-0.54716,-1.2755,-0.25407,-2.0852,-0.10078,1.1004,0.44203,-1.549,-0.0089445,0.18554,-0.29435,0.25041,-0.25872,0.088974,0.48546,0.12534,-0.071545,-0.24349,0.19642,-0.33433,-0.39216,-0.67173,1.3637,1.1673,-0.21397,-0.73814,-0.15253,0.6691,1.2867,0.48865,-0.23087,-1.0285,-2.7006,0.88047,-1.0952,-0.83816,-0.0061263,0.51356,-0.089135,-1.1228,-0.91503,0.014618,0.36444,-0.19612,0.44067,-0.12319,0.067894,0.82417,-0.26893,0.17627,-1.0981,-1.0165,-0.027608,1.1562,0.60258,0.68867,0.4885,0.84711,-0.2449,-0.56426,1.0626,0.25083,-0.83602,0.52656,-0.053582,0.19892,0.76582,-0.56339,1.6799,-0.60048,0.89567,0.80575,-1.3145,0.49739,0.47334,0.61749,0.13241,-0.73277,-0.93191,0.5776,-1.0235,0.75534,0.56037,-0.31233,1
-0.073803,-0.46514,0.17269,-0.94184,-0.88723,-0.97176,-0.15387,0.21859,-0.58888,-1.4865,-0.13898,-0.29816,0.35697,-0.55977,-0.32658,-0.52148,-0.71813,-0.048256,0.72978,0.035458,-0.26973,0.099318,1.3381,0.1045,-0.67619,-0.25588,-0.33887,0.68287,1.2998,1.0314,1.4591,2.1183,-0.022056,0.19528,-0.46618,-1.6617,-0.24736,-3.1986,-0.70695,-0.48161,-0.47544,-1.1055,-0.12527,-0.95636,0.36418,-0.85381,-0.1671,-0.013343,0.11658,0.87442,1.1643,0.44064,1.1446,0.49314,-0.43525,1.2208,-0.11159,0.14069,0.63478,0.56488,-0.62357,-0.28967,-0.72056,0.7206,0.20786,0.18218,0.20421,-0.42507,0.056747,0.38168,0.37868,-0.3991,-0.36485,0.07403,-1.4929,-0.77197,-1.7179,-0.40289,0.5461,1.3062,-0.020191,-0.41989,0.14943,-0.20013,-0.85571,0.80359,0.28811,-1.1587,0.91582,0.47714,0.15401,0.67621,0.87822,-0.46193,0.089752,-0.93415,0.7732,-0.76846,-1.3421,-0.17943,1
1.3044,-0.036962,-1.1751,0.86069,-0.34991,-0.92028,0.24137,0.0636,0.41228,-0.33653,-0.61147,-0.55541,-0.83964,-1.1873,-0.32214,-0.68943,-2.1533,0.77713,-0.21571,0.55968,-0.51536,0.000663,0.42607,-1.4778,-0.9838,-0.71479,0.48778,1.4927,1.185,-0.54401,1.0261,-1.3192,0.59989,-1.4495,-0.3963,0.16588,-0.59597,-2.3124,-0.41194,-0.11414,1.423,0.37117,-1.2897,0.038375,-1.4076,-0.17045,0.70928,-1.0393,-3.8253,-0.15981,0.18194,0.24271,0.62541,-0.9104,1.867,0.3686,0.59381,0.20126,1.0104,-0.53064,-0.33715,-0.96058,1.5608,-1.0051,-0.56857,-1.5739,1.1309,0.97898,-1.8909,-1.6994,0.10278,-1.1559,0.22708,-0.20158,-2.223,-0.49621,-1.1257,-0.11278,-0.018643,1.1286,0.089346,-0.42116,0.43671,-1.3404,-0.10948,1.2202,-0.094631,-0.087769,0.54203,-0.018992,0.061283,-0.13621,0.17188,1.8339,1.545,-0.12154,1.4721,-0.1472,-1.6336,0.52209,1
0.17027,0.18733,-0.2001,0.074183,-1.063,0.0078525,-0.41093,0.96982,0.92223,0.29228,1.206,-0.19188,-0.079642,0.37516,-0.8836,0.78653,-0.37796,-0.17176,-0.74331,0.2488,0.089933,-1.0252,0.9638,-0.38121,-0.40474,-0.57852,-0.19497,0.34145,-0.529,0.53976,1.0688,-0.62182,-2.5882,-0.48312,0.35704,-0.3139,0.51179,-0.55223,-0.2304,0.1928,0.24119,0.20304,-0.36108,-0.068504,-2.1385,-0.79169,-0.084441,-0.64358,-0.15417,1.1561,0.14455,0.071462,0.41269,-1.6979,0.36225,0.55903,-0.17916,0.3146,0.85077,-0.37275,-0.39318,-1.9737,0.48748,-0.043509,-1.5721,-0.21774,0.83247,0.79674,-0.31353,0.33556,-0.50048,1.017,0.6484,0.15765,-0.86567,0.81954,0.39212,-0.61456,0.22608,1.0007,0.86641,0.66648,-1.2406,0.55961,-0.48633,-0.57842,0.45063,-1.2391,-0.43851,0.16722,0.61008,1.0898,-0.098351,1.3734,-0.57368,-0.69706,0.66924,0.046034,0.077082,0.98289,1
0.83709,0.19865,1.62,0.87654,0.98424,-0.95604,0.20486,2.2905,1.9985,1.6089,-3.498,0.24786,1.7544,1.0543,1.7484,-0.44688,0.92678,0.94855,-1.7157,1.0651,-0.51806,0.56177,0.30743,0.67062,0.2268,1.0046,-0.60119,-2.3112,0.94135,-1.6098,0.26338,0.55812,0.47022,0.86741,-0.44656,1.0306,2.251,-0.61466,0.70159,-1.3023,1.2409,0.34136,-0.39221,0.51049,-0.13569,0.90893,2.6396,-0.72828,0.25296,0.64945,-0.83256,0.4526,-0.56233,1.2463,1.0198,0.010202,2.6628,1.4396,-3.0307,-0.37145,1.852,0.84341,2.0741,-0.0037245,0.22178,-2.6955,1.87,1.0594,-0.40988,-0.26587,-0.037027,0.11,-4.3596,0.87586,0.79115,1.8813,0.0051327,-0.32636,-0.59202,-0.061842,0.59292,-0.84939,0.81718,-1.191,-0.24742,0.38391,0.42178,0.068657,1.6466,-0.16954,0.12871,-0.30664,-0.14616,1.486,0.23116,1.4709,2.2773,-3.6182,-0.32131,-0.73421,1
0.26828,0.8085,0.63282,-0.73814,0.12555,-0.35616,0.24983,0.94842,2.2977,-0.60053,-0.10148,1.2857,1.9203,1.1709,0.20856,0.8821,1.2986,1.053,-0.49358,-0.19212,2.2231,-0.69611,0.86174,-0.79166,-0.31947,0.78474,-0.28039,-0.22896,0.42553,-0.70572,1.3879,-0.4851,1.0826,-0.59263,-0.81884,-0.041637,-0.13583,-1.5038,-0.0011564,0.4706,-0.6156,-1.4777,1.5485,0.42302,1.1941,0.77999,0.14917,0.06518,0.72677,0.4688,0.95097,0.93218,-0.053432,1.489,0.83529,-1.2174,0.65766,2.4413,0.18347,1.1696,1.1983,-0.37643,0.01613,0.29968,1.2623,0.41155,0.11404,-1.0453,0.16362,2.5644,0.46827,0.42665,-1.4357,-0.5803,0.66071,0.2645,0.31762,1.1596,-0.32387,0.52185,0.56854,-0.44376,0.72979,-0.47849,-1.7682,0.54553,0.8149,0.40098,0.61863,0.81313,-0.010318,-0.63614,-0.36985,0.16339,-0.81325,-0.77585,1.2298,-0.84969,1.2102,-0.37862,1
-0.24243,0.46569,0.15841,0.65168,1.3295,-0.12259,-0.17757,0.26275,-0.18818,0.61886,-0.2049,0.019582,0.16346,-1.3356,0.40499,1.1847,-0.24883,-0.65446,0.13682,0.58751,0.43892,-0.19786,0.34232,-0.59725,-0.19302,0.74206,-0.35468,-0.72504,-0.65553,-0.37324,0.60196,-0.19658,1.0525,-0.48224,0.14128,0.63932,0.046702,-0.49649,0.011391,-0.18487,1.274,0.69094,0.8297,0.10544,0.32253,0.019925,0.85478,-0.44488,0.30992,0.2413,-0.44667,-0.21753,-1.2807,0.56031,-0.13395,0.51444,-0.69649,0.11497,0.34785,-0.3789,1.0337,-0.10163,0.91127,-2.5937,-0.041856,-0.027864,-0.493,0.45129,0.094046,1.4367,-0.21576,-0.91316,0.427,0.75819,0.11335,-0.57864,-0.41634,0.045388,-0.25465,0.3539,0.4678,-1.6728,-0.52711,0.80101,-1.7237,0.66945,-0.27148,0.13089,-1.0699,-0.69828,-0.1056,0.030987,-1.4671,0.16124,-0.22487,-0.85286,-0.56098,0.38137,-0.52639,0.83756,1
0.43243,0.17177,0.22902,-0.014976,0.41884,0.38512,0.93083,0.5228,0.7212,0.12073,1.2351,0.25749,-0.087519,-0.60937,0.0039998,0.80547,-0.087073,1.8106,-0.71057,-0.38527,-0.094006,-1.524,1.4832,-0.23178,-0.027336,-1.0886,0.46581,-0.59301,2.5768,0.073075,1.4364,-0.89249,-0.05875,0.9541,0.0068508,-0.30768,1.2941,-0.35597,0.89601,-3.1355,1.1055,0.87849,1.3618,0.057961,0.64439,-1.74,0.33222,-1.5494,0.2925,0.86586,0.73345,-1.1606,0.16225,0.27893,0.3995,0.13298,1.5567,1.2001,-0.74883,-3.4323,0.58287,0.20866,1.243,1.2412,-1.4931,0.31546,0.44127,1.3916,-2.4406,1.4473,-0.52166,-0.72077,-1.1672,-0.54634,-0.63504,1.9729,0.54917,-1.01,-0.479,0.56991,-0.77123,0.066892,-0.14859,-0.13325,-0.85115,0.79871,0.28522,-2.2225,2.0685,2.0593,-0.051285,1.0777,1.272,0.5445,1.6531,0.65242,1.6113,-0.85917,0.23177,0.4788,1
1.8315,0.51582,0.052382,1.0784,1.8664,-0.379,0.046305,-0.3166,-0.58035,0.88674,-1.3606,-0.21241,0.43678,-0.2967,0.073771,0.42522,-0.32352,0.60036,-0.20957,1.7018,-0.94611,-0.48671,-1.7075,-0.47015,0.2462,-0.040848,0.2877,-1.1682,0.29103,-0.63057,-2.1855,0.072383,0.078125,0.64303,-0.098041,0.50513,0.85552,-0.76385,0.30333,-0.70244,-0.0060202,0.43251,0.097942,-0.72561,-0.0084621,-0.51586,1.3101,-0.14269,0.28861,0.83478,-2.1007,0.011639,-1.4787,0.51803,0.91285,-0.5823,0.61748,-0.60317,0.33445,-0.82209,-0.55366,-0.21481,1.4646,0.94802,0.68384,-0.65101,1.6732,0.59394,0.3679,0.57865,-0.14544,0.46005,1.0684,0.25769,0.82868,0.84122,0.27775,-2.2586,0.28958,-0.17705,-1.2811,-1.796,-0.066889,0.21469,-0.43263,0.15021,-0.21611,0.43141,-1.1615,-1.2232,0.051427,-0.096958,-1.6828,1.8433,0.75934,1.2714,0.17916,0.79381,2.2057,2.0456,1
